arr_delay,dep_delay,carrier,tailnum,origin,dest,distance,time
-5,0,DL,N919DU,LAX,MCO,2218,2022-04-05T15:28:00Z
15,-2,WN,N7838A,LAX,PHX,370,2022-04-05T16:00:00Z
-22,-6,OO,N630SK,LAX,SFO,337,2022-04-05T16:57:00Z
-5,-3,DL,N301DU,LAX,SAT,1211,2022-04-05T17:59:00Z
26,21,WN,N8734Q,LAX,HOU,1390,2022-04-05T18:05:00Z
10,12,OO,N405SY,LAX,LAS,236,2022-04-05T19:10:00Z
-17,-3,UA,N78506,LAX,ORD,1744,2022-04-06T08:15:00Z
1,16,OO,N748SK,LAX,DEN,862,2022-04-06T08:15:00Z
-10,-4,UA,N69824,LAX,IAH,1379,2022-04-06T08:15:00Z
-7,-4,AA,N809NN,LAX,AUS,1242,2022-04-06T08:40:00Z
-6,-5,OO,N195SY,LAX,AUS,1242,2022-04-06T09:10:00Z
-14,-4,DL,N887DN,LAX,RDU,2239,2022-04-06T10:29:00Z
-20,-8,OO,N905EV,LAX,FAT,209,2022-04-06T10:36:00Z
119,127,AA,N119US,LAX,PHX,370,2022-04-06T12:44:00Z
-19,16,B6,N2105J,LAX,JFK,2475,2022-04-06T13:50:00Z
16,34,WN,N8324A,LAX,OGG,2486,2022-04-06T16:40:00Z
-12,-4,OO,N290SY,LAX,SJC,308,2022-04-06T16:58:00Z
-20,-1,OO,N211SY,LAX,BOI,674,2022-04-06T18:57:00Z
5,4,UA,N62883,LAX,IAH,1379,2022-04-07T00:15:00Z
-15,12,OO,N508SY,LAX,OKC,1187,2022-04-07T08:17:00Z
2,-2,DL,N712TW,LAX,DCA,2311,2022-04-07T08:23:00Z
3,8,AS,N281AK,LAX,SEA,954,2022-04-07T09:00:00Z
75,54,DL,N186DN,LAX,JFK,2475,2022-04-07T09:30:00Z
18,0,UA,N33103,LAX,EWR,2454,2022-04-07T10:15:00Z
177,70,AA,N110AN,LAX,JFK,2475,2022-04-07T12:00:00Z
-4,4,WN,N8617E,LAX,LAS,236,2022-04-07T12:30:00Z
-3,6,AA,N432AN,LAX,HNL,2556,2022-04-07T13:05:00Z
-15,15,B6,N662JB,LAX,RDU,2239,2022-04-07T13:25:00Z
73,63,WN,N8610A,LAX,MDW,1750,2022-04-07T15:30:00Z
197,196,WN,N8750Q,LAX,OAK,337,2022-04-07T18:55:00Z
82,100,DL,N867DN,LAX,SEA,954,2022-04-07T19:11:00Z
136,134,NK,N941NK,LAX,BWI,2329,2022-04-07T23:30:00Z
-4,-1,AS,N364VA,LAX,SEA,954,2022-04-08T07:25:00Z
33,37,WN,N8719Q,LAX,DEN,862,2022-04-08T12:10:00Z
19,-2,DL,N718TW,LAX,BOS,2611,2022-04-08T12:40:00Z
-4,12,WN,N8327A,LAX,PHX,370,2022-04-08T13:45:00Z
-3,-7,NK,N510NK,LAX,DFW,1235,2022-04-08T14:15:00Z
4,-3,DL,N822DX,LAX,ATL,1947,2022-04-08T14:55:00Z
5,0,AA,N142AN,LAX,BNA,1797,2022-04-08T15:02:00Z
58,68,AA,N856NN,LAX,DFW,1235,2022-04-08T16:40:00Z
-1,0,WN,N8320J,LAX,HOU,1390,2022-04-08T18:05:00Z
10,13,DL,N310DU,LAX,IAH,1379,2022-04-08T18:21:00Z
-2,-4,DL,N365NW,LAX,DFW,1235,2022-04-08T18:41:00Z
-18,-5,UA,N418UA,LAX,PHX,370,2022-04-08T19:30:00Z
44,52,OO,N282SY,LAX,TUS,451,2022-04-08T20:50:00Z
13,-2,DL,N706TW,LAX,BOS,2611,2022-04-09T07:45:00Z
16,26,AA,N400AN,LAX,DCA,2311,2022-04-09T07:59:00Z
-7,0,NK,N621NK,LAX,LAS,236,2022-04-09T08:00:00Z
-29,-6,B6,N980JT,LAX,BOS,2611,2022-04-09T12:55:00Z
-20,-5,UA,N57864,LAX,HNL,2556,2022-04-09T13:25:00Z
-8,-3,WN,N8643A,LAX,DEN,862,2022-04-09T16:45:00Z
-5,5,UA,N57855,LAX,ORD,1744,2022-04-09T18:04:00Z
-14,-6,WN,N8805L,LAX,SJC,308,2022-04-10T05:45:00Z
11,6,DL,N718TW,LAX,BOS,2611,2022-04-10T07:45:00Z
-8,-2,OO,N912SW,LAX,MRY,266,2022-04-10T09:32:00Z
-19,-7,AA,N430AN,LAX,PHL,2402,2022-04-10T09:38:00Z
-2,-4,AA,N820AW,LAX,PHX,370,2022-04-10T09:55:00Z
-19,0,B6,N978JB,LAX,BOS,2611,2022-04-10T12:52:00Z
41,41,WN,N7882B,LAX,RNO,391,2022-04-10T18:00:00Z
-24,-3,UA,N37470,LAX,DEN,862,2022-04-10T18:57:00Z
27,18,NK,N953NK,LAX,OAK,337,2022-04-10T19:49:00Z
56,60,OO,N298SY,LAX,SAN,109,2022-04-10T21:20:00Z
-26,-7,AA,N444UW,LAX,PHL,2402,2022-04-10T22:05:00Z
24,19,WN,N8744B,LAX,SMF,373,2022-04-10T22:10:00Z
15,-2,DL,N545US,LAX,DTW,1979,2022-04-10T22:10:00Z
-7,-2,OO,N181SY,LAX,SFO,337,2022-04-10T22:35:00Z
42,71,B6,N588JB,LAX,BDL,2527,2022-04-10T23:47:00Z
16,-6,UA,N77542,LAX,SFO,337,2022-04-11T08:15:00Z
-26,-2,UA,N37521,LAX,OGG,2486,2022-04-11T09:00:00Z
-6,9,DL,N103DY,LAX,ATL,1947,2022-04-11T10:35:00Z
17,41,B6,N923JB,LAX,MIA,2342,2022-04-11T11:45:00Z
1,-8,OO,N400SY,LAX,AUS,1242,2022-04-11T18:20:00Z
14,-5,AS,N237AK,LAX,ANC,2345,2022-04-11T19:20:00Z
46,48,AA,N442AN,LAX,LAS,236,2022-04-11T20:02:00Z
95,95,OO,N743SK,LAX,FAT,209,2022-04-11T22:35:00Z
-11,0,DL,N885DN,LAX,MCO,2218,2022-04-11T22:43:00Z
-29,-7,UA,N34131,LAX,EWR,2454,2022-04-12T06:10:00Z
-17,-2,B6,N923JB,LAX,JFK,2475,2022-04-12T08:00:00Z
-14,-1,UA,N12004,LAX,EWR,2454,2022-04-12T08:15:00Z
-2,-2,OO,N303SY,LAX,RNO,391,2022-04-12T09:10:00Z
-7,-1,OO,N511SY,LAX,SJC,308,2022-04-12T09:40:00Z
762,784,HA,N384HA,LAX,HNL,2556,2022-04-12T10:00:00Z
-26,-8,OO,N915EV,LAX,FAT,209,2022-04-12T10:36:00Z
-1,15,B6,N986JB,LAX,MIA,2342,2022-04-12T11:45:00Z
-7,2,HA,N385HA,LAX,HNL,2556,2022-04-12T18:00:00Z
-4,-2,OO,N257SY,LAX,TUS,451,2022-04-12T20:45:00Z
-11,-9,OO,N253SY,LAX,SFO,337,2022-04-12T21:30:00Z
20,29,OO,N795SK,LAX,FAT,209,2022-04-12T22:35:00Z
-7,15,UA,N68880,LAX,TPA,2158,2022-04-13T00:05:00Z
-6,-2,DL,N374DX,LAX,DTW,1979,2022-04-13T05:39:00Z
-7,3,AA,N164NN,LAX,DFW,1235,2022-04-13T06:00:00Z
-5,-5,DL,N306DU,LAX,IAH,1379,2022-04-13T08:20:00Z
-12,1,AA,N439AN,LAX,KOA,2504,2022-04-13T10:15:00Z
9,-2,DL,N892DN,LAX,RDU,2239,2022-04-13T10:20:00Z
-8,-5,AA,N816AW,LAX,IND,1814,2022-04-13T11:10:00Z
-7,-4,NK,N617NK,LAX,ORD,1744,2022-04-13T14:20:00Z
-7,18,DL,N301DU,LAX,IAH,1379,2022-04-14T08:20:00Z
153,136,UA,N66814,LAX,DEN,862,2022-04-14T11:04:00Z
18,19,OO,N300SY,LAX,PHX,370,2022-04-14T15:43:00Z
-35,8,B6,N945JT,LAX,JFK,2475,2022-04-14T17:05:00Z
37,63,NK,N623NK,LAX,ATL,1947,2022-04-14T17:20:00Z
65,57,AS,N317AS,LAX,SEA,954,2022-04-14T17:45:00Z
87,94,WN,N8726H,LAX,LAS,236,2022-04-14T21:30:00Z
-11,2,DL,N330DX,LAX,ATL,1947,2022-04-15T06:00:00Z
-31,-4,AA,N906NN,LAX,ORD,1744,2022-04-15T06:10:00Z
-23,-3,AA,N143AN,LAX,DFW,1235,2022-04-15T07:00:00Z
-19,8,UA,N642UA,LAX,EWR,2454,2022-04-15T08:15:00Z
-15,8,WN,N8523W,LAX,BNA,1797,2022-04-15T17:35:00Z
-20,1,OO,N505SY,LAX,IAH,1379,2022-04-15T18:36:00Z
-31,-8,OO,N135SY,LAX,BOI,674,2022-04-15T18:57:00Z
6,11,WN,N8735L,LAX,SJC,308,2022-04-15T19:00:00Z
53,63,OO,N278SY,LAX,PHX,370,2022-04-15T20:00:00Z
6,15,OO,N403SY,LAX,SJC,308,2022-04-15T21:40:00Z
81,71,OO,N149SY,LAX,PSP,110,2022-04-15T22:42:00Z
2,5,OO,N302SY,LAX,LAS,236,2022-04-16T07:00:00Z
20,7,HA,N378HA,LAX,HNL,2556,2022-04-16T07:00:00Z
-9,-5,AA,N679AW,LAX,PHX,370,2022-04-16T07:42:00Z
-13,12,AA,N439AN,LAX,PHL,2402,2022-04-16T09:38:00Z
-41,7,B6,N993JE,LAX,EWR,2454,2022-04-16T09:50:00Z
13,0,OO,N302SY,LAX,LAS,236,2022-04-16T11:25:00Z
20,26,DL,N862DN,LAX,MSY,1670,2022-04-16T11:45:00Z
18,24,AS,N281AK,LAX,SEA,954,2022-04-16T21:05:00Z
31,39,OO,N199SY,LAX,SFO,337,2022-04-16T22:35:00Z
7,-7,OO,N406SY,LAX,SFO,337,2022-04-17T06:05:00Z
-25,-6,UA,N37502,LAX,DEN,862,2022-04-17T06:45:00Z
-1,5,WN,N8732S,LAX,SJC,308,2022-04-17T08:10:00Z
-6,-5,AA,N978NN,LAX,AUS,1242,2022-04-17T08:40:00Z
141,136,UA,N57863,LAX,HNL,2556,2022-04-17T10:45:00Z
-14,-3,OO,N298SY,LAX,SMF,373,2022-04-17T12:25:00Z
46,58,UA,N39461,LAX,LAS,236,2022-04-17T12:40:00Z
-23,-8,OO,N795SK,LAX,RDM,726,2022-04-17T12:49:00Z
-20,-3,OO,N513SY,LAX,ABQ,677,2022-04-17T13:15:00Z
63,64,OO,N254SY,LAX,TUS,451,2022-04-17T14:30:00Z
-29,-2,AA,N402AN,LAX,FLL,2343,2022-04-17T15:02:00Z
46,46,WN,N8316H,LAX,OGG,2486,2022-04-17T16:40:00Z
-7,-4,OO,N186SY,LAX,SFO,337,2022-04-17T21:10:00Z
113,127,DL,N904DN,LAX,FLL,2343,2022-04-17T22:20:00Z
5,20,DL,N126DN,LAX,DTW,1979,2022-04-17T23:09:00Z
86,96,NK,N950NK,LAX,DFW,1235,2022-04-18T06:10:00Z
0,-2,DL,N302DU,LAX,IAH,1379,2022-04-18T08:20:00Z
389,409,UA,N57852,LAX,EWR,2454,2022-04-18T11:30:00Z
-34,-8,OO,N208SY,LAX,SLC,590,2022-04-18T12:51:00Z
-21,-8,OO,N507SY,LAX,ABQ,677,2022-04-18T13:15:00Z
-6,-2,OO,N195SY,LAX,EUG,748,2022-04-18T13:30:00Z
-1,1,QX,N632QX,LAX,MFR,630,2022-04-18T14:05:00Z
-17,-6,OO,N186SY,LAX,SFO,337,2022-04-18T14:45:00Z
154,161,DL,N301DU,LAX,SAT,1211,2022-04-18T17:56:00Z
-32,-1,AA,N447AN,LAX,MIA,2342,2022-04-18T22:03:00Z
7,19,UA,N54241,LAX,SFO,337,2022-04-18T22:35:00Z
-23,4,WN,N7727A,LAX,HOU,1390,2022-04-19T05:35:00Z
-3,-3,NK,N636NK,LAX,LAS,236,2022-04-19T07:05:00Z
-1,-5,UA,N77014,LAX,IAD,2288,2022-04-19T08:15:00Z
-10,7,B6,N992JB,LAX,EWR,2454,2022-04-19T09:50:00Z
25,65,B6,N929JB,LAX,JFK,2475,2022-04-19T10:30:00Z
38,60,AA,N454AL,LAX,DFW,1235,2022-04-19T12:35:00Z
51,54,WN,N8647A,LAX,SJC,308,2022-04-19T13:20:00Z
-8,-1,OO,N271SY,LAX,PHX,370,2022-04-19T15:43:00Z
-3,13,NK,N907NK,LAX,LAS,236,2022-04-19T17:37:00Z
2,15,DL,N595NW,LAX,ATL,1947,2022-04-19T22:20:00Z
-19,-5,UA,N14102,LAX,EWR,2454,2022-04-20T06:10:00Z
-9,-11,AS,N263AK,LAX,PDX,834,2022-04-20T07:00:00Z
-25,-3,AA,N101NN,LAX,BOS,2611,2022-04-20T10:15:00Z
-7,-5,DL,N870DN,LAX,RDU,2239,2022-04-20T10:20:00Z
-10,-5,AA,N183UW,LAX,LAS,236,2022-04-20T10:55:00Z
-11,-2,DL,N896DN,LAX,MSY,1670,2022-04-20T11:20:00Z
-17,-2,DL,N868DN,LAX,SLC,590,2022-04-20T13:45:00Z
-22,0,UA,N653UA,LAX,EWR,2454,2022-04-20T16:15:00Z
-12,-3,WN,N560WN,LAX,RNO,391,2022-04-20T18:00:00Z
-4,-5,WN,N8653A,LAX,OAK,337,2022-04-20T18:55:00Z
-15,-7,NK,N925NK,LAX,ORD,1744,2022-04-20T19:09:00Z
-29,-7,OO,N508SY,LAX,DEN,862,2022-04-20T20:30:00Z
-23,-2,OO,N151SY,LAX,SBP,156,2022-04-20T22:53:00Z
-11,-5,AA,N429AN,LAX,LIH,2615,2022-04-21T08:10:00Z
3,8,DL,N513DZ,LAX,ATL,1947,2022-04-21T09:00:00Z
-10,-3,AA,N778XF,LAX,PHX,370,2022-04-21T09:55:00Z
2,8,UA,N57864,LAX,HNL,2556,2022-04-21T13:25:00Z
-3,-2,DL,N538US,LAX,LIH,2615,2022-04-21T14:20:00Z
50,74,WN,N8542Z,LAX,BNA,1797,2022-04-21T17:35:00Z
-3,16,DL,N195DN,LAX,JFK,2475,2022-04-21T21:41:00Z
6,-1,UA,N37506,LAX,MCO,2218,2022-04-21T23:02:00Z
-31,-7,UA,N57855,LAX,ORD,1744,2022-04-22T06:45:00Z
16,-1,OO,N160SY,LAX,PHX,370,2022-04-22T07:54:00Z
-20,-4,OO,N504SY,LAX,XNA,1371,2022-04-22T08:00:00Z
-25,0,AA,N424AN,LAX,LIH,2615,2022-04-22T08:10:00Z
0,1,AS,N408AS,LAX,EWR,2454,2022-04-22T08:30:00Z
-18,-3,UA,N69824,LAX,DEN,862,2022-04-22T08:55:00Z
-32,-2,B6,N2142J,LAX,JFK,2475,2022-04-22T11:20:00Z
5,-4,OO,N960SW,LAX,RDD,501,2022-04-22T13:25:00Z
21,33,UA,N37506,LAX,SFO,337,2022-04-22T16:10:00Z
-14,-3,NK,N910NK,LAX,STL,1592,2022-04-22T17:56:00Z
-7,4,DL,N398DA,LAX,MEM,1619,2022-04-22T19:15:00Z
15,-2,OO,N264SY,LAX,SAN,109,2022-04-22T21:15:00Z
-23,-5,AA,N401AN,LAX,PHL,2402,2022-04-22T22:05:00Z
9,0,AS,N846VA,LAX,PDX,834,2022-04-23T08:00:00Z
-8,-3,WN,N7830A,LAX,ABQ,677,2022-04-23T08:10:00Z
1,-3,OO,N195SY,LAX,LAS,236,2022-04-23T08:20:00Z
-3,4,AA,N820AL,LAX,DFW,1235,2022-04-23T11:30:00Z
6,1,WN,N8718Q,LAX,LAS,236,2022-04-23T21:30:00Z
-20,5,AS,N459AS,LAX,EWR,2454,2022-04-23T22:35:00Z
-17,-3,DL,N305DN,LAX,MSP,1535,2022-04-24T00:56:00Z
-12,-3,B6,N805JB,LAX,SLC,590,2022-04-24T06:15:00Z
-18,-6,OO,N275SY,LAX,OAK,337,2022-04-24T09:25:00Z
-13,-12,AS,N292AK,LAX,DAL,1246,2022-04-24T09:30:00Z
-7,-6,UA,N37434,LAX,SFO,337,2022-04-24T10:15:00Z
-4,2,WN,N8564Z,LAX,SFO,337,2022-04-24T12:30:00Z
56,71,WN,N239WN,LAX,AUS,1242,2022-04-24T13:30:00Z
-20,-9,NK,N638NK,LAX,MCI,1363,2022-04-24T14:38:00Z
40,45,AA,N301PA,LAX,AUS,1242,2022-04-24T15:45:00Z
12,13,WN,N8308K,LAX,DAL,1246,2022-04-24T16:05:00Z
-4,-6,OO,N265SY,LAX,GEG,945,2022-04-24T19:22:00Z
-18,-4,OO,N510SY,LAX,TUS,451,2022-04-24T20:30:00Z
29,27,OO,N407SY,LAX,SFO,337,2022-04-24T20:35:00Z
14,15,UA,N68842,LAX,IAD,2288,2022-04-24T23:40:00Z
-30,-4,AA,N108NN,LAX,JFK,2475,2022-04-25T07:30:00Z
3,1,AA,N446AN,LAX,DFW,1235,2022-04-25T12:35:00Z
-18,3,UA,N14235,LAX,SFO,337,2022-04-25T16:10:00Z
-7,-3,OO,N264SY,LAX,SFO,337,2022-04-25T17:40:00Z
-34,-5,AA,N405AN,LAX,PHL,2402,2022-04-25T22:05:00Z
-19,-9,AS,N842VA,LAX,IAD,2288,2022-04-26T08:10:00Z
-5,-6,AA,N442AN,LAX,LIH,2615,2022-04-26T08:10:00Z
-16,-4,OO,N510SY,LAX,SMF,373,2022-04-26T08:47:00Z
16,32,WN,N7867A,LAX,STL,1592,2022-04-26T09:30:00Z
-12,-6,OO,N298SY,LAX,LAS,236,2022-04-26T11:25:00Z
9,-3,WN,N253WN,LAX,LAS,236,2022-04-26T13:40:00Z
3,15,AA,N153AN,LAX,DFW,1235,2022-04-26T13:40:00Z
-2,24,AA,N108NN,LAX,BOS,2611,2022-04-26T15:00:00Z
-40,-7,B6,N977JE,LAX,JFK,2475,2022-04-26T15:19:00Z
-18,-7,AA,N774XF,LAX,LAS,236,2022-04-26T17:36:00Z
-25,-7,AS,N512AS,LAX,GEG,945,2022-04-26T20:20:00Z
23,23,WN,N243WN,LAX,SJC,308,2022-04-26T21:15:00Z
-3,10,WN,N8305E,LAX,DAL,1246,2022-04-27T05:30:00Z
-2,-6,OO,N405SY,LAX,SFO,337,2022-04-27T06:15:00Z
-17,-7,AA,N105NN,LAX,BOS,2611,2022-04-27T08:30:00Z
-13,-3,WN,N8801Q,LAX,DEN,862,2022-04-27T09:15:00Z
22,23,OO,N290SY,LAX,TUS,451,2022-04-27T09:59:00Z
0,7,UA,N53442,LAX,IAH,1379,2022-04-27T12:12:00Z
9,24,DL,N195DN,LAX,JFK,2475,2022-04-27T13:10:00Z
-15,-4,OO,N511SY,LAX,SJC,308,2022-04-27T14:27:00Z
214,228,DL,N847DN,LAX,BNA,1797,2022-04-27T17:00:00Z
5,19,OO,N900EV,LAX,MRY,266,2022-04-27T19:10:00Z
-9,-7,DL,N397DA,LAX,MCI,1363,2022-04-27T19:26:00Z
-16,-4,OO,N270SY,LAX,ABQ,677,2022-04-27T19:45:00Z
-10,-8,NK,N945NK,LAX,CLE,2052,2022-04-28T06:00:00Z
4,-1,OO,N271SY,LAX,SMF,373,2022-04-28T08:20:00Z
2,13,WN,N760SW,LAX,OAK,337,2022-04-28T09:20:00Z
-18,-5,DL,N892DN,LAX,BNA,1797,2022-04-28T09:45:00Z
-4,0,NK,N676NK,LAX,LAS,236,2022-04-28T13:24:00Z
-41,-8,B6,N2105J,LAX,JFK,2475,2022-04-28T13:45:00Z
-2,10,DL,N120DN,LAX,DTW,1979,2022-04-28T14:25:00Z
-36,-6,DL,N840MH,LAX,JFK,2475,2022-04-28T16:00:00Z
-10,0,OO,N512SY,LAX,IAH,1379,2022-04-28T18:36:00Z
-3,-3,WN,N8739L,LAX,TUS,451,2022-04-28T20:30:00Z
-13,-1,B6,N946JL,LAX,MIA,2342,2022-04-28T22:25:00Z
-3,-7,DL,N354DN,LAX,DTW,1979,2022-04-29T05:39:00Z
13,-4,DL,N871DN,LAX,MCO,2218,2022-04-29T11:30:00Z
-14,2,DL,N322DN,LAX,ATL,1947,2022-04-30T00:45:00Z
-13,5,WN,N8560Z,LAX,MDW,1750,2022-04-30T05:30:00Z
-9,-3,OO,N440SW,LAX,SMF,373,2022-04-30T08:15:00Z
-22,-4,OO,N752SK,LAX,DEN,862,2022-04-30T08:15:00Z
21,33,AA,N116AN,LAX,BOS,2611,2022-04-30T08:30:00Z
-10,-10,OO,N182SY,LAX,SFO,337,2022-04-30T09:15:00Z
-11,-1,AA,N971UY,LAX,CLT,2125,2022-04-30T11:57:00Z
-2,2,WN,N279WN,LAX,LAS,236,2022-04-30T13:25:00Z
-10,-1,OO,N754SK,LAX,SFO,337,2022-04-30T16:57:00Z
-13,-4,DL,N301DU,LAX,SAT,1211,2022-04-30T17:56:00Z
-3,-3,UA,N57855,LAX,ORD,1744,2022-04-30T18:04:00Z
5,-6,OO,N188SY,LAX,BOI,674,2022-04-30T21:05:00Z
-24,-6,UA,N452UA,LAX,IAD,2288,2022-04-30T21:36:00Z
-20,-13,OO,N181SY,LAX,SJC,308,2022-04-30T21:45:00Z
-7,0,DL,N809DN,LAX,MCO,2218,2022-05-01T07:00:00Z
66,64,OO,N510SY,LAX,SEA,954,2022-05-01T07:07:00Z
-8,-6,AA,N925UY,LAX,LAS,236,2022-05-01T07:45:00Z
-44,-8,B6,N969JT,LAX,JFK,2475,2022-05-01T08:40:00Z
36,46,DL,N335NW,LAX,LAS,236,2022-05-01T09:00:00Z
11,25,OO,N510SY,LAX,SEA,954,2022-05-01T14:36:00Z
-15,-3,UA,N26210,LAX,IAH,1379,2022-05-01T15:22:00Z
70,43,AA,N191UW,LAX,DFW,1235,2022-05-01T18:40:00Z
16,23,WN,N435WN,LAX,OAK,337,2022-05-01T20:50:00Z
14,-4,NK,N650NK,LAX,LAS,236,2022-05-01T21:51:00Z
-10,-11,OO,N113SY,LAX,PSP,110,2022-05-01T22:42:00Z
-24,-4,AA,N416AN,LAX,MIA,2342,2022-05-02T01:19:00Z
172,178,DL,N900DU,LAX,SLC,590,2022-05-02T07:00:00Z
-30,-9,AA,N435AN,LAX,LIH,2615,2022-05-02T08:05:00Z
0,-3,AA,N110AN,LAX,BOS,2611,2022-05-02T10:15:00Z
-21,-5,WN,N8724J,LAX,KOA,2504,2022-05-02T10:40:00Z
2,12,DL,N929DZ,LAX,SLC,590,2022-05-02T11:10:00Z
1,-6,OO,N178SY,LAX,FAT,209,2022-05-02T11:30:00Z
-1,2,NK,N913NK,LAX,MKE,1756,2022-05-02T12:22:00Z
-4,4,WN,N8752Q,LAX,SFO,337,2022-05-02T12:30:00Z
-2,1,AA,N119NN,LAX,DFW,1235,2022-05-02T13:40:00Z
-16,3,UA,N68842,LAX,IAH,1379,2022-05-02T17:49:00Z
16,4,AS,N548AS,LAX,ANC,2345,2022-05-02T19:20:00Z
-10,-6,UA,N486UA,LAX,PHX,370,2022-05-02T19:30:00Z
-4,4,AA,N955NN,LAX,ORD,1744,2022-05-02T23:55:00Z
-10,-2,AA,N656AW,LAX,PHX,370,2022-05-03T06:25:00Z
-20,-5,WN,N8716B,LAX,LIH,2615,2022-05-03T08:00:00Z
-19,-6,UA,N17245,LAX,ORD,1744,2022-05-03T08:15:00Z
-15,-6,UA,N412UA,LAX,LAS,236,2022-05-03T08:30:00Z
-9,2,AA,N404AN,LAX,PHL,2402,2022-05-03T11:40:00Z
-11,0,WN,N426WN,LAX,AUS,1242,2022-05-03T13:30:00Z
-18,-8,AA,N943NN,LAX,DFW,1235,2022-05-03T16:40:00Z
-4,4,AA,N762US,LAX,LAS,236,2022-05-03T17:36:00Z
-18,-7,OO,N507SY,LAX,SMF,373,2022-05-03T18:39:00Z
5,-6,QX,N638QX,LAX,RDM,726,2022-05-03T19:45:00Z
-20,-10,OO,N511SY,LAX,TUS,451,2022-05-03T20:30:00Z
-21,-4,UA,N817UA,LAX,IAD,2288,2022-05-03T21:36:00Z
-12,-3,OO,N252SY,LAX,PDX,834,2022-05-04T06:40:00Z
-11,-1,OO,N603CZ,LAX,LAS,236,2022-05-04T07:00:00Z
9,-4,DL,N385DZ,LAX,ATL,1947,2022-05-04T07:15:00Z
-10,-10,OO,N256SY,LAX,PDX,834,2022-05-04T10:14:00Z
-10,-3,UA,N66814,LAX,IAH,1379,2022-05-04T10:22:00Z
-8,-5,UA,N73860,LAX,HNL,2556,2022-05-04T13:25:00Z
-11,-2,OO,N507SY,LAX,ELP,715,2022-05-04T14:54:00Z
-29,-9,B6,N639JB,LAX,SFO,337,2022-05-04T17:35:00Z
28,19,OO,N267SY,LAX,SFO,337,2022-05-04T17:40:00Z
114,118,OO,N171SY,LAX,STS,400,2022-05-04T19:55:00Z
-14,-7,OO,N507SY,LAX,PDX,834,2022-05-04T21:00:00Z
101,105,AA,N433AN,LAX,DFW,1235,2022-05-05T06:00:00Z
-11,-3,OO,N405SY,LAX,SFO,337,2022-05-05T06:15:00Z
-9,-2,OO,N253SY,LAX,SFO,337,2022-05-05T08:15:00Z
-20,0,DL,N187DN,LAX,JFK,2475,2022-05-05T09:30:00Z
4,15,WN,N8610A,LAX,MSY,1670,2022-05-05T13:00:00Z
-13,8,UA,N78511,LAX,SFO,337,2022-05-05T13:25:00Z
-8,-5,OO,N256SY,LAX,TUS,451,2022-05-05T14:30:00Z
-13,1,DL,N775DE,LAX,MEM,1619,2022-05-05T19:35:00Z
35,18,AS,N918AK,LAX,EWR,2454,2022-05-05T22:35:00Z
4,11,AA,N733AR,LAX,MIA,2342,2022-05-05T23:20:00Z
9,20,AA,N920US,LAX,CLT,2125,2022-05-06T06:05:00Z
6,10,QX,N632QX,LAX,PDX,834,2022-05-06T11:10:00Z
7,11,NK,N945NK,LAX,MKE,1756,2022-05-06T11:23:00Z
-15,-2,UA,N33203,LAX,IAH,1379,2022-05-06T12:11:00Z
3,-4,WN,N8662F,LAX,HOU,1390,2022-05-06T18:05:00Z
-18,-6,NK,N932NK,LAX,PIT,2136,2022-05-06T22:55:00Z
-18,-6,AA,N177US,LAX,DFW,1235,2022-05-07T00:59:00Z
52,75,G4,273NV,LAX,OMA,1330,2022-05-07T07:30:00Z
8,0,DL,N303DU,LAX,IAH,1379,2022-05-07T08:10:00Z
-7,-5,AA,N823AW,LAX,STL,1592,2022-05-07T09:13:00Z
-22,0,NK,N948NK,LAX,DTW,1979,2022-05-07T09:59:00Z
2,-1,QX,N642QX,LAX,MFR,630,2022-05-07T10:00:00Z
-3,0,AA,N803AL,LAX,MIA,2342,2022-05-07T13:30:00Z
-18,-4,AA,N411AN,LAX,PHL,2402,2022-05-07T14:49:00Z
-9,-6,AA,N563UW,LAX,DFW,1235,2022-05-07T15:35:00Z
37,49,DL,N311DN,LAX,SEA,954,2022-05-07T17:45:00Z
-8,-1,OO,N251SY,LAX,TUS,451,2022-05-07T20:45:00Z
-6,-6,WN,N8807L,LAX,SJC,308,2022-05-08T05:45:00Z
-5,-2,G4,305NV,LAX,MEM,1619,2022-05-08T08:00:00Z
-15,-2,WN,N7864B,LAX,BNA,1797,2022-05-08T08:25:00Z
-15,-9,DL,N361NW,LAX,DFW,1235,2022-05-08T08:45:00Z
-9,-1,DL,N357NW,LAX,LAS,236,2022-05-08T09:00:00Z
-10,2,WN,N428WN,LAX,SJC,308,2022-05-08T12:05:00Z
33,14,B6,N641JB,LAX,LAS,236,2022-05-08T13:25:00Z
27,44,NK,N604NK,LAX,ORD,1744,2022-05-08T13:55:00Z
-18,-4,NK,N941NK,LAX,DFW,1235,2022-05-08T16:08:00Z
-13,-5,AA,N954NN,LAX,PHX,370,2022-05-08T16:29:00Z
-8,0,WN,N453WN,LAX,SFO,337,2022-05-09T05:20:00Z
8,-3,UA,N12004,LAX,EWR,2454,2022-05-09T08:20:00Z
-13,-2,AA,N415AN,LAX,DFW,1235,2022-05-09T09:00:00Z
1,3,NK,N643NK,LAX,DFW,1235,2022-05-09T10:38:00Z
12,14,OO,N278SY,LAX,SJC,308,2022-05-09T11:31:00Z
-19,-2,AA,N446AN,LAX,DCA,2311,2022-05-09T12:54:00Z
112,141,DL,N384DN,LAX,MSP,1535,2022-05-09T15:05:00Z
