arr_delay,dep_delay,carrier,tailnum,origin,dest,distance,time
-6,0,OO,N703SK,LAX,ASE,737,2022-01-11T08:00:00Z
-3,-5,AA,N775XF,LAX,DEN,862,2022-01-11T12:28:00Z
-12,-9,B6,N989JT,LAX,JFK,2475,2022-01-11T12:41:00Z
-6,0,OO,N303SY,LAX,LAS,236,2022-01-11T14:15:00Z
3,0,OO,N241SY,LAX,DEN,862,2022-01-11T14:21:00Z
-10,4,OO,N278SY,LAX,PHX,370,2022-01-11T18:21:00Z
-20,-9,OO,N269SY,LAX,SJC,308,2022-01-11T20:33:00Z
-6,-2,OO,N506SY,LAX,PDX,834,2022-01-11T21:05:00Z
58,51,DL,N198DN,LAX,JFK,2475,2022-01-11T23:59:00Z
-6,-4,AA,N832AA,LAX,MIA,2342,2022-01-12T08:35:00Z
53,40,AS,N840VA,LAX,DAL,1246,2022-01-12T10:30:00Z
-24,-1,OO,N257SY,LAX,PDX,834,2022-01-12T13:15:00Z
17,32,WN,N8324A,LAX,LAS,236,2022-01-12T13:35:00Z
-21,-9,NK,N515NK,LAX,LAS,236,2022-01-12T17:37:00Z
-26,-7,AS,N529AS,LAX,PDX,834,2022-01-12T17:55:00Z
34,6,AS,N361VA,LAX,SEA,954,2022-01-12T18:55:00Z
-9,-5,AA,N934AA,LAX,LAS,236,2022-01-12T21:40:00Z
8,3,DL,N585NW,LAX,ATL,1947,2022-01-12T22:40:00Z
0,4,B6,N652JB,LAX,JAX,2153,2022-01-12T23:35:00Z
9,9,AA,N783AN,LAX,MIA,2342,2022-01-12T23:59:00Z
-13,-2,G4,317NV,LAX,MFR,630,2022-01-13T08:00:00Z
-2,-2,AA,N106NN,LAX,BOS,2611,2022-01-13T08:00:00Z
-11,-3,DL,N127DU,LAX,IAH,1379,2022-01-13T08:20:00Z
-17,-4,WN,N8716B,LAX,OAK,337,2022-01-13T08:25:00Z
-19,-8,OO,N298SY,LAX,RNO,391,2022-01-13T09:05:00Z
89,105,DL,N821DX,LAX,MSP,1535,2022-01-13T13:05:00Z
-11,-7,AA,N971AN,LAX,AUS,1242,2022-01-13T15:35:00Z
-14,0,DL,N326US,LAX,DFW,1235,2022-01-13T17:00:00Z
-8,-4,DL,N845DN,LAX,SLC,590,2022-01-14T05:45:00Z
-3,19,AA,N426AN,LAX,OGG,2486,2022-01-14T11:01:00Z
-14,3,WN,N8660A,LAX,MSY,1670,2022-01-14T11:25:00Z
-21,-5,WN,N8655D,LAX,SMF,373,2022-01-14T11:35:00Z
-25,-7,UA,N68801,LAX,IAD,2288,2022-01-14T13:00:00Z
-8,-9,B6,N2105J,LAX,JFK,2475,2022-01-14T14:10:00Z
-14,1,DL,N6712B,LAX,ATL,1947,2022-01-14T14:44:00Z
-20,-11,AS,N533AS,LAX,TPA,2158,2022-01-14T16:15:00Z
-20,-3,OO,N252SY,LAX,PDX,834,2022-01-14T16:40:00Z
-28,1,DL,N581NW,LAX,HNL,2556,2022-01-14T16:55:00Z
-9,-4,AS,N932AK,LAX,SEA,954,2022-01-14T17:55:00Z
-12,10,WN,N234WN,LAX,BNA,1797,2022-01-14T18:05:00Z
-14,0,QX,N637QX,LAX,SJC,308,2022-01-14T18:30:00Z
-9,-4,OO,N506SY,LAX,TUS,451,2022-01-14T19:15:00Z
-19,-2,DL,N594NW,LAX,ATL,1947,2022-01-14T22:40:00Z
73,88,DL,N331DN,LAX,ATL,1947,2022-01-15T09:05:00Z
-12,-6,UA,N37462,LAX,IAH,1379,2022-01-15T12:06:00Z
-17,-3,OO,N265SY,LAX,PHX,370,2022-01-15T12:30:00Z
-14,-3,OO,N183SY,LAX,LAS,236,2022-01-15T17:00:00Z
-7,-3,AA,N440AN,LAX,DFW,1235,2022-01-15T17:30:00Z
-12,-4,AA,N140AN,LAX,LAS,236,2022-01-15T21:40:00Z
-20,-8,NK,N509NK,LAX,IAH,1379,2022-01-16T00:55:00Z
7,8,WN,N556WN,LAX,DEN,862,2022-01-16T06:05:00Z
-35,-4,WN,N8316H,LAX,OGG,2486,2022-01-16T07:35:00Z
-17,-3,OO,N121SY,LAX,PHX,370,2022-01-16T07:43:00Z
-18,-4,DL,N924DZ,LAX,SLC,590,2022-01-16T09:35:00Z
-22,-7,UA,N26208,LAX,RSW,2238,2022-01-16T10:05:00Z
-7,-1,WN,N8323C,LAX,DAL,1246,2022-01-16T10:45:00Z
-12,-8,AA,N936NN,LAX,LAS,236,2022-01-16T11:01:00Z
-23,-7,WN,N932WN,LAX,RNO,391,2022-01-16T13:00:00Z
-6,-15,AS,N440AS,LAX,TPA,2158,2022-01-16T15:25:00Z
-12,-5,AA,N936NN,LAX,LAS,236,2022-01-16T15:30:00Z
-12,-9,OO,N745SK,LAX,ABQ,677,2022-01-16T15:36:00Z
-13,17,OO,N200SY,LAX,SEA,954,2022-01-16T19:30:00Z
